episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_001,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,8,19,discovered_hard,4,9,4,0.4444444444444444,1.0,
pl_006,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,5,20,discovered_hard,4,5,4,0.8,1.0,
pl_008,personal_life,2,commute_method,bus,Walking,Bus,Bus,True,True,True,True,True,7,18,discovered_hard,5,7,5,0.7142857142857143,1.0,
pl_009,personal_life,2,fitness_facility,Crysthene Pool,Zorathel Peak Gym,Zorathel Peak Gym,Crysthene Pool,True,False,True,False,True,4,19,discovered_hard,3,4,3,0.75,1.0,
pl_011,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,6,15,discovered_hard,3,6,3,0.5,1.0,
pl_013,personal_life,2,commute_duration,10 min,40 min,40 min,10 min,True,False,True,False,True,8,17,discovered_hard,5,8,5,0.625,1.0,
pl_014,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,6,17,discovered_hard,4,6,4,0.6666666666666666,1.0,
pl_021,personal_life,2,fitness_facility,Velthari Studio,Pyravar CrossFit,Pyravar CrossFit,Velthari Studio,True,False,True,False,True,6,17,discovered_hard,5,6,5,0.8333333333333334,1.0,
pl_023,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,6,19,discovered_hard,4,7,4,0.5714285714285714,1.0,
pl_025,personal_life,2,commute_method,bus,Walking,Walking,Bus,True,False,True,False,True,7,16,discovered_hard,5,7,5,0.7142857142857143,1.0,
pl_028,personal_life,2,commute_duration,20 min,10 min,10 min,20 min,True,False,True,False,True,8,17,discovered_hard,5,8,5,0.625,1.0,
pl_030,personal_life,2,commute_duration,10 min,10 min,10 min,Around 10 min,True,True,True,True,True,5,19,discovered_hard,4,5,4,0.8,1.0,
pl_031,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,5,15,discovered_hard,4,5,4,0.8,1.0,
pl_033,personal_life,2,favorite_restaurant,Velmara Taqueria,Lorwen & Sage,Lorwen & Sage,Velmara Taqueria,True,False,True,False,True,6,17,discovered_hard,5,6,5,0.8333333333333334,1.0,
pl_034,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,3,16,discovered_hard,3,3,3,1.0,1.0,
pl_040,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,5,17,discovered_hard,3,5,3,0.6,1.0,
pl_041,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,4,15,discovered_hard,3,5,3,0.6,1.0,
pl_042,personal_life,2,fitness_facility,none,None,None,None,False,True,True,False,False,4,17,discovered_hard,3,5,3,0.6,1.0,
pl_044,personal_life,2,fitness_facility,Thandrel YMCA,Thandrel YMCA,Thandrel YMCA,Thandrel YMCA,False,True,True,False,False,3,17,discovered_hard,3,3,3,1.0,1.0,
pl_046,personal_life,2,fitness_facility,Crysthene Pool,Crysthene Pool,Crysthene Pool,Crysthene Pool,False,True,True,False,False,6,19,discovered_hard,4,6,4,0.6666666666666666,1.0,
pl_047,personal_life,2,commute_duration,1.5 hours,1 hour,1 hour,1.5 hours,True,False,True,False,True,5,18,discovered_hard,4,5,4,0.8,1.0,
pl_048,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Velthari Studio,Kaelstrom Fitness,True,False,True,False,True,6,15,discovered_hard,4,6,4,0.6666666666666666,1.0,
pl_049,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Kaelstrom Fitness,Kaelstrom Fitness,True,True,True,True,True,9,19,discovered_hard,5,10,5,0.5,1.0,
sw_001,software_project,2,build_command,quorix forge --target prod,zelthra pack --sourcemap,zelthra pack --sourcemap,quorix forge --target prod,True,False,True,False,True,5,18,discovered_hard,3,5,3,0.6,1.0,
sw_002,software_project,2,dockerfile_path,deploy/Dockerfile.zephyra,deploy/Dockerfile.korinth,deploy/Dockerfile.korinth,deploy/Dockerfile.zephyra,True,False,True,False,True,6,12,discovered_hard,5,7,5,0.7142857142857143,1.0,
sw_003,software_project,2,deploy_command,narvex deploy --env prod,"```
thandrel ship --channel beta
What would you like to do next?
```","```
thandrel ship --channel beta
What would you like to do next?
```","```
narvex deploy --env prod
What would you like to do next?
```",True,False,True,False,True,6,17,discovered_hard,4,6,4,0.6666666666666666,1.0,
sw_005,software_project,2,deploy_command,orinthal publish --tier sandbox,narvex deploy --env prod,narvex deploy --env prod,orinthal publish --tier sandbox,True,False,True,False,True,5,16,discovered_hard,4,5,4,0.8,1.0,
sw_007,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",False,True,True,False,False,3,17,discovered_hard,3,3,3,1.0,1.0,
sw_008,software_project,2,middleware_config,phalanx-key-guard v1.3,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,phalanx-key-guard v1.3,True,False,True,False,True,5,17,discovered_hard,4,5,4,0.8,1.0,
sw_009,software_project,2,deploy_command,zephyra push --target preview,korinth release --canary,korinth release --canary,zephyra push --target preview,True,False,True,False,True,5,13,discovered_hard,4,6,4,0.6666666666666666,1.0,
sw_010,software_project,2,deploy_command,thandrel ship --channel beta,zephyra push --target preview,zephyra push --target preview,thandrel ship --channel beta,True,False,True,False,True,5,15,discovered_hard,4,6,4,0.6666666666666666,1.0,
sw_011,software_project,2,test_command,quorix spec --run smoke,karnex test --watch,karnex test --watch,quorix spec --run smoke,True,False,True,False,True,6,16,discovered_hard,5,6,5,0.8333333333333334,1.0,
sw_012,software_project,2,model_syntax,"Vorathis.collection('Model', spec)","Vorathis.collection('Model', spec)","Vorathis.collection('Model', spec)","Vorathis.collection('Model', spec)",False,True,True,False,False,3,15,discovered_hard,3,3,3,1.0,1.0,
sw_013,software_project,2,middleware_config,oathkeeper-cert-check v3.2,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,oathkeeper-cert-check v3.2,True,False,True,False,True,5,14,discovered_hard,3,5,3,0.6,1.0,
sw_015,software_project,2,deploy_command,thandrel ship --channel beta,narvex deploy --env prod,narvex deploy --env prod,thandrel ship --channel beta,True,False,True,False,True,4,14,discovered_hard,4,4,4,1.0,1.0,
sw_016,software_project,2,build_command,tarvex compile --debug,pyronis pack --optimize,pyronis pack --optimize,tarvex compile --debug,True,False,True,False,True,5,13,discovered_hard,3,6,3,0.5,1.0,
sw_017,software_project,2,middleware_config,cerberix-sso-bridge v1.9,phalanx-key-guard v1.3,phalanx-key-guard v1.3,cerberix-sso-bridge v1.9,True,False,True,False,True,4,14,discovered_hard,3,4,3,0.75,1.0,
sw_018,software_project,2,model_syntax,"Pyravar.record('Model', schema)","Pyravar.record('Model', schema)","Pyravar.record('Model', schema)","Pyravar.record('Model', schema)",False,True,True,False,False,4,15,discovered_hard,4,4,4,1.0,1.0,
sw_019,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,5,14,discovered_hard,4,5,4,0.8,1.0,
sw_020,software_project,2,dockerfile_path,deploy/Dockerfile.korinth,deploy/Dockerfile.thandrel,deploy/Dockerfile.thandrel,deploy/Dockerfile.korinth,True,False,True,False,True,3,16,discovered_hard,3,3,3,1.0,1.0,
sw_022,software_project,2,middleware_config,kryptal-bearer-check v2.2,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,kryptal-bearer-check v2.2,True,False,True,False,True,4,15,discovered_hard,4,4,4,1.0,1.0,
sw_024,software_project,2,middleware_config,kryptal-bearer-check v2.2,kryptal-bearer-check v2.2,kryptal-bearer-check v2.2,kryptal-bearer-check v2.2,False,True,True,False,False,4,17,discovered_hard,3,4,3,0.75,1.0,
sw_026,software_project,2,build_command,karnex build --analyze,tarvex compile --release,tarvex compile --release,karnex build --analyze,True,False,True,False,True,4,13,discovered_hard,3,5,3,0.6,1.0,
sw_027,software_project,2,model_syntax,"Zyndra.struct('Model', types)","Zyndra.struct('Model', types)","Zyndra.struct('Model', types)","Zyndra.struct('Model', types)",False,True,True,False,False,4,16,discovered_hard,4,4,4,1.0,1.0,
sw_028,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,7,15,discovered_hard,5,8,5,0.625,1.0,
sw_029,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",False,True,True,False,False,4,19,discovered_hard,4,4,4,1.0,1.0,
sw_030,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",False,True,True,False,False,3,16,discovered_hard,3,3,3,1.0,1.0,
sw_031,software_project,2,middleware_config,zenthos-session-middleware v1.8,oathkeeper-mtls-proxy v4.1,oathkeeper-mtls-proxy v4.1,zenthos-session-middleware v1.8,True,False,True,False,True,5,14,discovered_hard,3,6,3,0.5,1.0,
sw_032,software_project,2,middleware_config,verithos-pkce-guard v1.4,kryptal-bearer-check v2.2,kryptal-bearer-check v2.2,verithos-pkce-guard v1.4,True,False,True,False,True,7,13,discovered_hard,4,7,4,0.5714285714285714,1.0,
sw_034,software_project,2,build_command,dranith compile --emit bundle,pyronis pack --quick,pyronis pack --quick,dranith compile --emit bundle,True,False,True,False,True,5,12,discovered_hard,4,5,4,0.8,1.0,
sw_035,software_project,2,model_syntax,"Keldaris.node('Model', shape)","Keldaris.node('Model', shape)","Keldaris.node('Model', shape)","Keldaris.node('Model', shape)",False,True,True,False,False,5,13,discovered_hard,4,5,4,0.8,1.0,
sw_036,software_project,2,deploy_command,orinthal publish --tier sandbox,thandrel ship --channel stable,thandrel ship --channel stable,orinthal publish --tier sandbox,True,False,True,False,True,6,18,discovered_hard,5,6,5,0.8333333333333334,1.0,
sw_037,software_project,2,deploy_command,velturis deploy --region ap-northeast,velturis deploy --region ap-northeast,thandrel ship --channel stable,velturis deploy --region ap-northeast,False,False,True,False,False,6,16,discovered_hard,4,6,4,0.6666666666666666,1.0,
sw_038,software_project,2,test_command,zelthra assert --suite all,karnex test --ci,zelthra assert --suite all,zelthra assert --suite all,True,True,True,True,True,5,15,discovered_hard,5,5,4,0.8,0.8,
sw_039,software_project,2,deploy_command,velturis deploy --region us-east,orinthal publish --tier sandbox,orinthal publish --tier sandbox,velturis deploy --region us-east,True,False,True,False,True,4,15,discovered_hard,4,4,4,1.0,1.0,
sw_040,software_project,2,middleware_config,oathkeeper-mtls-proxy v4.1,phalanx-hmac-validator v2.0,phalanx-hmac-validator v2.0,oathkeeper-mtls-proxy v4.1,True,False,True,False,True,3,13,discovered_hard,3,4,3,0.75,1.0,
sw_041,software_project,2,model_syntax,"Pyravar.entity('Model', attrs)","Pyravar.entity('Model', attrs)","Pyravar.entity('Model', attrs)","Pyravar.entity('Model', attrs)",False,True,True,False,False,5,15,discovered_hard,4,5,4,0.8,1.0,
sw_043,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",False,True,True,False,False,2,15,discovered_hard,4,3,3,1.0,0.75,
sw_044,software_project,2,test_command,pyronis check --snapshot,quorix spec --run all,quorix spec --run all,pyronis check --snapshot,True,False,True,False,True,5,14,discovered_hard,4,5,4,0.8,1.0,
sw_046,software_project,2,test_command,zelthra assert --suite all,dranith probe --mode fast,dranith probe --mode fast,zelthra assert --suite all,True,False,True,False,True,9,14,discovered_hard,5,9,5,0.5555555555555556,1.0,
sw_047,software_project,2,middleware_config,oathkeeper-mtls-proxy v4.1,phalanx-hmac-validator v2.0,phalanx-hmac-validator v2.0,oathkeeper-mtls-proxy v4.1,True,False,True,False,True,4,15,discovered_hard,3,5,3,0.6,1.0,
sw_048,software_project,2,middleware_config,verithos-oauth-middleware v2.1,oathkeeper-mtls-proxy v4.1,oathkeeper-mtls-proxy v4.1,verithos-oauth-middleware v2.1,True,False,True,False,True,4,16,discovered_hard,3,4,3,0.75,1.0,
sw_049,software_project,2,middleware_config,zenthos-csrf-guard v1.1,cerberix-sso-bridge v1.9,cerberix-sso-bridge v1.9,zenthos-csrf-guard v1.1,True,False,True,False,True,4,17,discovered_hard,3,5,3,0.6,1.0,
sw_050,software_project,2,deploy_command,narvex deploy --env prod,korinth release --canary,korinth release --canary,narvex deploy --env prod,True,False,True,False,True,6,14,discovered_hard,4,7,4,0.5714285714285714,1.0,
